,NAV
2013-08-14,0.5786094210833075
2013-08-15,0.5714634537818813
2013-08-16,0.5725249054878888
2013-08-19,0.5689704111915185
2013-08-20,0.5717900224523309
2013-08-21,0.577713661058541
2013-08-22,0.583060089387487
2013-08-23,0.5850342359281105
2013-08-26,0.5879203560421109
2013-08-27,0.5907602851410031
2013-08-28,0.5941433018650008
2013-08-29,0.5978574403944206
2013-08-30,0.5978857904476934
2013-09-02,0.602730572707948
2013-09-03,0.6072209888133125
2013-09-04,0.5958824317244049
2013-09-05,0.6000665320651267
2013-09-06,0.6029987596831862
2013-09-09,0.6061228402547495
2013-09-10,0.6004083815237203
2013-09-11,0.6043491347877896
2013-09-12,0.6097393543062505
2013-09-13,0.6098010419069008
2013-09-16,0.6109941734225168
2013-09-17,0.6143143994966889
2013-09-18,0.6274437422565196
2013-09-23,0.635455790563112
2013-09-24,0.6391595135611006
2013-09-25,0.6370935267275821
2013-09-26,0.6362943387108667
2013-09-27,0.6347533319481274
2013-09-30,0.6378111907554447
2013-10-08,0.629965407945571
2013-10-09,0.6238330097903158
2013-10-10,0.629352442160518
2013-10-11,0.6251600929890612
2013-10-14,0.6192539374444525
2013-10-15,0.6110005377625866
2013-10-16,0.6109415670699139
2013-10-17,0.612179485047377
2013-10-18,0.6209805214231672
2013-10-21,0.6268113899019145
2013-10-22,0.6283504424891768
2013-10-23,0.6298053134224643
2013-10-24,0.634253592076122
2013-10-25,0.632488397225558
